Quarter,Ticker,Stock,%,Change,Unnamed: 0,Income_Revenue,Income_Cost Of Goods Sold,Income_Gross Profit,Income_Research And Development Expenses,Income_SG&A Expenses,Income_Other Operating Income Or Expenses,Income_Operating Expenses,Income_Operating Income,Income_Total Non-Operating Income/Expense,Income_Pre-Tax Income,Income_Income Taxes,Income_Income After Taxes,Income_Other Income,Income_Income From Continuous Operations,Income_Income From Discontinued Operations,Income_Net Income,Income_EBITDA,Income_EBIT,Income_Basic EPS,Income_EPS - Earnings Per Share,Balance_Cash On Hand,Balance_Receivables,Balance_Inventory,Balance_Pre-Paid Expenses,Balance_Other Current Assets,Balance_Total Current Assets,"Balance_Property, Plant, And Equipment",Balance_Long-Term Investments,Balance_Goodwill And Intangible Assets,Balance_Other Long-Term Assets,Balance_Total Long-Term Assets,Balance_Total Assets,Balance_Total Current Liabilities,Balance_Long Term Debt,Balance_Other Non-Current Liabilities,Balance_Total Long Term Liabilities,Balance_Total Liabilities,Balance_Common Stock Net,Balance_Retained Earnings (Accumulated Deficit),Balance_Comprehensive Income,Balance_Other Share Holders Equity,Balance_Share Holder Equity,Balance_Total Liabilities And Share Holders Equity,CashFlow_Net Income/Loss,CashFlow_Total Depreciation And Amortization - Cash Flow,CashFlow_Other Non-Cash Items,CashFlow_Total Non-Cash Items,CashFlow_Change In Accounts Receivable,CashFlow_Change In Inventories,CashFlow_Change In Accounts Payable,CashFlow_Change In Assets/Liabilities,CashFlow_Total Change In Assets/Liabilities,CashFlow_Cash Flow From Operating Activities,"CashFlow_Net Change In Property, Plant, And Equipment",CashFlow_Net Change In Intangible Assets,CashFlow_Net Acquisitions/Divestitures,CashFlow_Net Change In Short-term Investments,CashFlow_Net Change In Long-Term Investments,CashFlow_Net Change In Investments - Total,CashFlow_Investing Activities - Other,CashFlow_Cash Flow From Investing Activities,CashFlow_Net Long-Term Debt,CashFlow_Net Current Debt,CashFlow_Debt Issuance/Retirement Net - Total,CashFlow_Net Common Equity Issued/Repurchased,CashFlow_Net Total Equity Issued/Repurchased,CashFlow_Total Common And Preferred Stock Dividends Paid,CashFlow_Financial Activities - Other,CashFlow_Cash Flow From Financial Activities,CashFlow_Net Cash Flow,CashFlow_Stock-Based Compensation,CashFlow_Common Stock Dividends Paid,StockPrice,Annual_Basic_EPS,PER,ROI,Operating_Margin,Gross_Margin,Net_Profit_Margin,ROE,Current_Ratio,Debt_to_Equity,EBITDA_Margin
2015 Q2,DE,DEERE & CO,1.53%,0,2015-06-30,8171,5694,2477,341,740,-212.9,1460,1017,0,1017,324,693,0,691,0,690,1523,1183,2.05,2.03,4748,5637,4624,0,0,44496,5245,299,797,6097,15098,59594,21082,23623,0,30336,51418,3745,22673,-4293.6,0,8176,59594,1941,1382,137,1519,812,-691.4,0,761,258,3759,355,0,149,706,0,706,-2269.1,-1058.7,848,502,1349,-2598.6,-2598.6,-816.3,-72.1,-2137.6,375,66.1,-816.3,81.99899292,3.18,25.78584683,0.011578347,0.12446457,0.30314527,0.084444988,0.084393346,2.110615691,6.288894325,0.186390895
2015 Q3,DE,DEERE & CO,0.99%,-1,2015-09-30,7594,5358,2236,347,755,-223.6,1497,739,0,739,241,498,0,512,0,511,1256,910,1.54,1.53,4552,5087,4319,0,0,43669,5126,311,774,6348,15263,58932,21253,23201,0,29954,51207,3807,22987,-4507.4,0,7725,58932,1941,1382,137,1519,812,-691.4,0,761,258,3759,355,0,149,706,0,706,-2269.1,-1058.7,848,502,1349,-2598.6,-2598.6,-816.3,-72.1,-2137.6,375,66.1,-816.3,63.02251434,3.59,17.55501792,0.008671011,0.097313669,0.294442981,0.067289966,0.066148867,2.054721686,6.628737864,0.165393732
2015 Q4,DE,DEERE & CO,1.32%,1,2015-12-31,6715,4670,2045,404,719,-302,1588,457,0,457,105,352,0,352,0,352,973,620,1.09,1.09,4600,4076,3817,0,0,42136,5182,304,790,6770,15812,57948,20409,23833,0,30781,51190,3826,23145,-4729.4,0,6758,57948,1941,1382,137,1519,812,-691.4,0,761,258,3759,355,0,149,706,0,706,-2269.1,-1058.7,848,502,1349,-2598.6,-2598.6,-816.3,-72.1,-2137.6,375,66.1,-816.3,65.45949554,2.63,24.88954203,0.006074412,0.06805659,0.30454207,0.052419955,0.052086416,2.064579352,7.57472625,0.144899479
2016 Q1,DE,DEERE & CO,1.39%,1,2016-03-31,5525,3840,1684,319,593,-247.8,1333,351,0,351,95.5,256,0,254,0,254,899,524,0.8,0.8,3936,4524,4250,0,0,40343,5039,300,778,6995,15629,55972,17976,24474,0,31393,49368,3843,23209,-4860.1,0,6604,55972,1522,1560,456,2016,335,-106.1,0,239,320,3770,612,0,-117.4,-1.8,0,-1.8,-1669.8,-1177.2,-196.9,-1213.6,-1410.5,-169.4,-169.4,-761.3,-64.7,-2405.9,174,70.6,-761.3,66.57567596,1.89,35.22522538,0.004537983,0.063529412,0.30479638,0.045972851,0.038461538,2.244270138,7.475469412,0.162714932
2016 Q2,DE,DEERE & CO,1.37%,-1,2016-06-30,7875,5531,2344,345,715,-360.3,1611,733,0,733,238,496,0,495,0,495,1312,924,1.57,1.56,4609,5856,4061,0,0,42676,5080,237,956,7486,16440,59116,20301,24588,0,31638,51940,3862,23515,-4518.8,0,7177,59116,1522,1560,456,2016,335,-106.1,0,239,320,3770,612,0,-117.4,-1.8,0,-1.8,-1669.8,-1177.2,-196.9,-1213.6,-1410.5,-169.4,-169.4,-761.3,-64.7,-2405.9,174,70.6,-761.3,70.6035614,2.37,29.79053224,0.008373368,0.093079365,0.297650794,0.062857143,0.068970322,2.102162455,7.237007106,0.166603175
2016 Q3,DE,DEERE & CO,1.40%,-1,2016-09-30,6724,4494,2230,339,709,-276.6,1525,705,0,705,227,479,0,489,0,489,1302,906,1.55,1.55,4790,4755,3851,0,0,41939,5047,246,933,7761,16601,58539,19957,24069,0,31143,51099,3884,23815,-4582.2,0,7440,58539,1522,1560,456,2016,335,-106.1,0,239,320,3770,612,0,-117.4,-1.8,0,-1.8,-1669.8,-1177.2,-196.9,-1213.6,-1410.5,-169.4,-169.4,-761.3,-64.7,-2405.9,174,70.6,-761.3,74.89963531,3.12,24.00629337,0.008353405,0.104848305,0.331647829,0.072724569,0.065725806,2.101468157,6.868145161,0.193634741
2016 Q4,DE,DEERE & CO,0.00%,-1,2016-12-31,6520,4331,2189,391,774,-390.6,1754,434,0,434,140,294,0,284,0,286,1035,633,0.91,0.9,4789,4046,3341,0,0,41005,5171,233,920,7626,16914,57919,19230,23703,0,32158,51388,3912,23911,-5626,0,6531,57919,1522,1560,456,2016,335,-106.1,0,239,320,3770,612,0,-117.4,-1.8,0,-1.8,-1669.8,-1177.2,-196.9,-1213.6,-1410.5,-169.4,-169.4,-761.3,-64.7,-2405.9,174,70.6,-761.3,90.94885254,2.46,36.97107827,0.004937931,0.066564417,0.335736196,0.043865031,0.04379115,2.132345294,7.868320318,0.158742331
2023 Q1,DEO,DIAGEO PLC-SPONSORED ADR,0.01%,1,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4479,1297,1382,2679,142,-810,-746,0,-1414,3636,-1401,0,155,-112,-68,-180,0,-1426,887,69,956,-1637,-1637,-2182,-178,-3041,-907,0,-2182,170.6882477,0,inf,,,,,,,,
2023 Q2,DEO,DIAGEO PLC-SPONSORED ADR,0.01%,0,2023-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,3719,9653,0,0,15622,0,5155,13866,1194,20385,44883,9593,19590,1185,23405,33174,858,6590,0,4012,11709,42906,4479,1297,1382,2679,142,-810,-746,0,-1414,3636,-1401,0,155,-112,-68,-180,0,-1426,887,69,956,-1637,-1637,-2182,-178,-3041,-907,0,-2182,163.4341431,0,inf,0,,,,0,1.628479099,2.833205227,
2023 Q3,DEO,DIAGEO PLC-SPONSORED ADR,0.01%,0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4479,1297,1382,2679,142,-810,-746,0,-1414,3636,-1401,0,155,-112,-68,-180,0,-1426,887,69,956,-1637,-1637,-2182,-178,-3041,-907,0,-2182,142.6583557,0,inf,,,,,,,,
