Quarter,Ticker,Stock,%,Change,Unnamed: 0,Income_Revenue,Income_Cost Of Goods Sold,Income_Gross Profit,Income_Research And Development Expenses,Income_SG&A Expenses,Income_Other Operating Income Or Expenses,Income_Operating Expenses,Income_Operating Income,Income_Total Non-Operating Income/Expense,Income_Pre-Tax Income,Income_Income Taxes,Income_Income After Taxes,Income_Other Income,Income_Income From Continuous Operations,Income_Income From Discontinued Operations,Income_Net Income,Income_EBITDA,Income_EBIT,Income_Basic EPS,Income_EPS - Earnings Per Share,Balance_Cash On Hand,Balance_Receivables,Balance_Inventory,Balance_Pre-Paid Expenses,Balance_Other Current Assets,Balance_Total Current Assets,"Balance_Property, Plant, And Equipment",Balance_Long-Term Investments,Balance_Goodwill And Intangible Assets,Balance_Other Long-Term Assets,Balance_Total Long-Term Assets,Balance_Total Assets,Balance_Total Current Liabilities,Balance_Long Term Debt,Balance_Other Non-Current Liabilities,Balance_Total Long Term Liabilities,Balance_Total Liabilities,Balance_Common Stock Net,Balance_Retained Earnings (Accumulated Deficit),Balance_Comprehensive Income,Balance_Other Share Holders Equity,Balance_Share Holder Equity,Balance_Total Liabilities And Share Holders Equity,CashFlow_Net Income/Loss,CashFlow_Total Depreciation And Amortization - Cash Flow,CashFlow_Other Non-Cash Items,CashFlow_Total Non-Cash Items,CashFlow_Change In Accounts Receivable,CashFlow_Change In Inventories,CashFlow_Change In Accounts Payable,CashFlow_Change In Assets/Liabilities,CashFlow_Total Change In Assets/Liabilities,CashFlow_Cash Flow From Operating Activities,"CashFlow_Net Change In Property, Plant, And Equipment",CashFlow_Net Change In Intangible Assets,CashFlow_Net Acquisitions/Divestitures,CashFlow_Net Change In Short-term Investments,CashFlow_Net Change In Long-Term Investments,CashFlow_Net Change In Investments - Total,CashFlow_Investing Activities - Other,CashFlow_Cash Flow From Investing Activities,CashFlow_Net Long-Term Debt,CashFlow_Net Current Debt,CashFlow_Debt Issuance/Retirement Net - Total,CashFlow_Net Common Equity Issued/Repurchased,CashFlow_Net Total Equity Issued/Repurchased,CashFlow_Total Common And Preferred Stock Dividends Paid,CashFlow_Financial Activities - Other,CashFlow_Cash Flow From Financial Activities,CashFlow_Net Cash Flow,CashFlow_Stock-Based Compensation,CashFlow_Common Stock Dividends Paid,StockPrice,Annual_Basic_EPS,PER,ROI,Operating_Margin,Gross_Margin,Net_Profit_Margin,ROE,Current_Ratio,Debt_to_Equity,EBITDA_Margin
2016 Q4,DAL,DELTA AIR LINES INC,2.00%,1,2016-12-31,9269,5765,3504,0,159,-1825,2440,1064,-395,669,225,444,0,444,0,444,1064,1064,0.63,0.62,3249,2064,891,1247,0,7451,24375,0,14638,1733,43810,51261,15239,6201,1878,23735,38974,0,7903,-7636,0,12287,51261,4195,1886,2118,4004,-134,-140,0,-771,-747,7215,-3391,0,0,979,0,979,257,-2155,-1259,0,-1259,-2601,-2601,-509,109,-4260,800,0,-509,44.6347847,5.59,7.98475576,0.008661556,0.11479124,0.378034308,0.047901608,0.036135753,0.488942844,3.171970375,0.11479124
2017 Q1,DAL,DELTA AIR LINES INC,1.56%,-1,2017-03-31,9101,5635,3466,0,1638,-292,2467,999,-150,849,288,561,0,561,0,561,999,999,0.77,0.77,2650,2307,855,1068,0,6880,24817,0,14649,2363,44579,51459,15953,8187,1822,22561,38514,0,8226,-7571,0,12945,51459,3205,2222,2242,4464,-428,-397,0,-2727,-2597,5023,-3891,0,0,-341,-1245,-1586,211,-5266,1196,0,1196,-1677,-1677,-731,482,-730,-973,0,-731,41.86986923,5.14,8.145888956,0.010901883,0.109768157,0.380837271,0.061641578,0.043337196,0.431266846,2.975202781,0.109768157
2017 Q2,DAL,DELTA AIR LINES INC,1.76%,-1,2017-06-30,10747,6206,4541,0,1305,-723,2559,1982,-151,1831,645,1186,0,1186,0,1186,1982,1982,1.63,1.62,2988,2164,938,1087,0,7177,25367,0,14649,2545,44638,51815,16631,7916,1885,21705,38336,0,8905,-7549,0,13479,51815,3205,2222,2242,4464,-428,-397,0,-2727,-2597,5023,-3891,0,0,-341,-1245,-1586,211,-5266,1196,0,1196,-1677,-1677,-731,482,-730,-973,0,-731,49.15906906,4.73,10.39303786,0.022889125,0.18442356,0.422536522,0.110356379,0.087988723,0.431543503,2.844127903,0.18442356
2017 Q3,DAL,DELTA AIR LINES INC,1.44%,0,2017-09-30,11061,6463,4598,0,1386,-818,2775,1823,-47,1776,617,1159,0,1159,0,1159,1823,1823,1.62,1.61,2438,2399,1136,1110,0,7083,25900,0,14645,2878,44845,51928,16496,7584,2001,21431,37927,0,9502,-7476,0,14001,51928,3205,2222,2242,4464,-428,-397,0,-2727,-2597,5023,-3891,0,0,-341,-1245,-1586,211,-5266,1196,0,1196,-1677,-1677,-731,482,-730,-973,0,-731,44.39448166,4.65,9.547200357,0.022319365,0.164813308,0.415694783,0.104782569,0.082779801,0.429376819,2.708877937,0.164813308
2017 Q4,DAL,DELTA AIR LINES INC,1.56%,0,2017-12-31,10229,6249,3980,0,2573,338,2818,1162,-118,1044,745,299,0,299,0,299,1162,1162,0.43,0.43,2639,2377,1329,1459,0,7804,26563,0,14641,3309,45867,53671,18959,6592,2221,22182,41141,0,8256,-7621,0,12530,53671,3205,2222,2242,4464,-428,-397,0,-2727,-2597,5023,-3891,0,0,-341,-1245,-1586,211,-5266,1196,0,1196,-1677,-1677,-731,482,-730,-973,0,-731,51.87801361,4.45,11.65798059,0.005570979,0.113598592,0.389089843,0.029230619,0.023862729,0.411625086,3.28339984,0.113598592
2018 Q1,DAL,DELTA AIR LINES INC,1.55%,1,2018-03-31,9968,6353,3615,0,1265,-903,2771,844,-112,732,175,557,0,557,0,557,844,844,0.79,0.79,1970,2568,1146,2040,0,7724,27096,0,14637,3446,46354,54078,20012,6360,2320,21509,41521,0,8465,-7681,0,12557,54078,3935,2329,1424,3753,108,324,0,-115,-101,7014,-5168,0,0,766,-117,649,126,-4393,693,0,693,-1575,-1575,-909,65,-1726,895,0,-909,51.06861115,4.47,11.42474522,0.010299937,0.084670947,0.362660514,0.055878812,0.044357729,0.385968419,3.306601895,0.084670947
2018 Q2,DAL,DELTA AIR LINES INC,1.61%,1,2018-06-30,11775,7202,4573,0,1374,-932,2889,1684,-298,1386,350,1036,0,1036,0,1036,1684,1684,1.49,1.49,2406,2427,1589,1219,0,7641,28124,0,14633,4594,48155,55796,19269,8562,2365,23671,42940,0,8851,-7606,0,12856,55796,3935,2329,1424,3753,108,324,0,-115,-101,7014,-5168,0,0,766,-117,649,126,-4393,693,0,693,-1575,-1575,-909,65,-1726,895,0,-909,46.43270111,4.33,10.72348755,0.018567639,0.143014862,0.38836518,0.087983015,0.080584941,0.396543671,3.340074673,0.143014862
2018 Q3,DAL,DELTA AIR LINES INC,1.71%,1,2018-09-30,11953,7450,4503,0,1420,-865,2858,1645,43,1688,366,1322,0,1322,0,1322,1645,1645,1.93,1.92,1858,2517,1170,1181,0,6726,28565,0,14629,4651,48277,55003,18158,8115,2517,23141,41299,0,9696,-7535,0,13704,55003,3935,2329,1424,3753,108,324,0,-115,-101,7014,-5168,0,0,766,-117,649,126,-4393,693,0,693,-1575,-1575,-909,65,-1726,895,0,-909,54.57230759,4.64,11.76127319,0.024035053,0.137622354,0.376725508,0.110599849,0.096468184,0.370415244,3.013645651,0.137622354
2018 Q4,DAL,DELTA AIR LINES INC,1.79%,0,2018-12-31,10742,7043,3699,0,1320,-718,2608,1091,254,1345,325,1020,0,1020,0,1020,1091,1091,1.48,1.47,1565,2314,1055,1406,0,6340,28335,0,14611,4986,53926,60266,18578,8253,969,28001,46579,0,10039,-7825,0,13687,60266,3935,2329,1424,3753,108,324,0,-115,-101,7014,-5168,0,0,766,-117,649,126,-4393,693,0,693,-1575,-1575,-909,65,-1726,895,0,-909,47.38491821,5.69,8.32775364,0.016924966,0.101563955,0.344349283,0.094954385,0.07452327,0.34126386,3.40315628,0.101563955
2019 Q1,DAL,DELTA AIR LINES INC,1.84%,1,2019-03-31,10472,6737,3735,0,1320,-780,2715,1020,-74,946,216,730,0,730,0,730,1020,1020,1.1,1.09,1910,3154,1071,1061,0,7196,29139,0,14608,4862,54645,61841,21323,7710,1395,27607,48930,0,9656,-7766,0,12911,61841,4767,2581,1535,4116,-775,-139,0,68,-702,8425,-4936,0,0,206,109,315,58,-4563,-1263,1750,487,-2027,-2027,-980,-360,-2880,982,0,-980,49.38948441,6,8.231580734,0.011804466,0.097402597,0.356665393,0.069709702,0.056540934,0.337475965,3.789791651,0.097402597
2019 Q2,DAL,DELTA AIR LINES INC,1.93%,0,2019-06-30,12536,7523,5013,0,1443,-729,2885,2128,-221,1907,464,1443,0,1443,0,1443,2128,2128,2.22,2.21,2009,2844,1083,1198,0,7134,30165,0,14605,4708,55384,62518,21164,7710,2025,27396,48560,0,10686,-7694,0,13958,62518,4767,2581,1535,4116,-775,-139,0,68,-702,8425,-4936,0,0,206,109,315,58,-4563,-1263,1750,487,-2027,-2027,-980,-360,-2880,982,0,-980,54.59408188,6.73,8.112047827,0.023081353,0.169751117,0.399888322,0.115108488,0.103381573,0.337081837,3.479008454,0.169751117
2019 Q3,DAL,DELTA AIR LINES INC,1.90%,0,2019-09-30,12560,7664,4896,0,1439,-755,2825,2071,-124,1947,452,1495,0,1495,0,1495,2071,2071,2.32,2.31,1899,2836,1072,1137,0,6944,30796,0,14602,5062,56275,63219,20211,7923,1378,27940,48151,0,11772,-7645,0,15068,63219,4767,2581,1535,4116,-775,-139,0,68,-702,8425,-4936,0,0,206,109,315,58,-4563,-1263,1750,487,-2027,-2027,-980,-360,-2880,982,0,-980,55.76802444,7.12,7.832587703,0.023647954,0.164888535,0.389808917,0.119028662,0.099216883,0.343575281,3.195580037,0.164888535
2019 Q4,DAL,DELTA AIR LINES INC,1.71%,0,2019-12-31,11439,8443,2996,0,167,-808,1597,1399,-1,1398,299,1099,0,1099,0,1099,1399,1399,1.68,1.69,2882,2854,1251,1262,0,8249,31310,2568,14944,1714,56283,64532,20204,8873,1386,28970,49174,0,12454,-7989,0,15358,64532,4767,2581,1535,4116,-775,-139,0,68,-702,8425,-4936,0,0,206,109,315,58,-4563,-1263,1750,487,-2027,-2027,-980,-360,-2880,982,0,-980,57.0406723,7.32,7.792441571,0.017030311,0.1223009,0.261911006,0.096074832,0.071558797,0.408285488,3.201849199,0.1223009
2020 Q1,DAL,DELTA AIR LINES INC,1.17%,1,2020-03-31,8592,6597,1995,0,975,-752,2405,-410,-197,-607,-73,-534,0,-534,0,-534,-410,-410,-0.84,-0.84,5967,2280,974,1054,0,10275,31644,3684,15772,1875,58463,68738,19392,12662,1666,35037,54429,0,11423,-7898,0,14309,68738,-12385,2312,3521,5833,1168,354,0,316,2078,-3793,-1899,0,0,-5792,-2099,-7891,552,-9238,14231,3261,17492,-344,-344,-260,2468,19356,6325,0,-260,28.02011299,5.38,5.208199441,-0.007768629,-0.047718808,0.232192737,-0.062150838,-0.03731917,0.529857673,3.803829757,-0.047718808
2020 Q2,DAL,DELTA AIR LINES INC,0.00%,-1,2020-06-30,1468,3520,-2052,0,388,670,2763,-4815,-2199,-7014,-1297,-5717,0,-5717,0,-5717,-4815,-4815,-9.01,-9.01,15668,1728,494,1025,0,18915,28473,1633,15770,1820,53346,72261,20150,19412,4245,43421,63571,0,5706,-7937,0,8690,72261,-12385,2312,3521,5833,1168,354,0,316,2078,-3793,-1899,0,0,-5792,-2099,-7891,552,-9238,14231,3261,17492,-344,-344,-260,2468,19356,6325,0,-260,27.5486927,-5.85,-4.70917824,-0.079115982,-3.279972752,-1.397820163,-3.894414169,-0.657882624,0.938709677,7.315420023,-3.279972752
2013 Q2,DE,DEERE & CO,0.35%,1,2013-06-30,10914,7482,3431,377,956,-163.4,1688,1744,0,1744,666,1077,0,1084,0,1084,2212,1935,2.79,2.76,5050,6601,6173,0,0,44358,5114,230,1017,4063,13797,58155,20479,21753,0,29410,49888,3474,18232,-4454,0,8267,58155,3538,1140,39.7,1180,-1510.2,-728.4,0,525,-1415.7,3254,-221.7,0,-61.5,-182.4,0,-182.4,-4355.1,-4820.7,-224.5,2749,2525,-1356.9,-1356.9,-752.9,-8.6,407,-1148.2,80.7,-752.9,65.22032166,4.46,14.62339051,0.018639842,0.159794759,0.314366868,0.099321972,0.131123745,2.166023732,6.034595379,0.202675463
2013 Q3,DE,DEERE & CO,0.35%,0,2013-09-30,10010,6838,3172,339,920,-181.6,1623,1549,0,1549,554,996,0,997,0,996,2019,1732,2.58,2.56,4796,5923,5594,0,0,44388,5108,214,1005,4154,13949,58337,20380,21699,0,29365,49745,3499,19032,-4498.8,0,8592,58337,3538,1140,39.7,1180,-1510.2,-728.4,0,525,-1415.7,3254,-221.7,0,-61.5,-182.4,0,-182.4,-4355.1,-4820.7,-224.5,2749,2525,-1356.9,-1356.9,-752.9,-8.6,407,-1148.2,80.7,-752.9,65.72879028,5.37,12.23999819,0.017073213,0.154745255,0.316883117,0.0995005,0.115921788,2.178017664,5.789688082,0.201698302
2013 Q4,DE,DEERE & CO,0.35%,0,2013-12-31,9451,6332,3118,405,948,-333.2,1874,1244,0,1244,437,807,0,807,0,808,1731,1432,2.14,2.12,5129,5253,4935,0,0,45103,5467,221,922,5483,14419,59521,21979,21578,120,27275,49254,3524,19646,-2693.1,0,10268,59521,3538,1140,39.7,1180,-1510.2,-728.4,0,525,-1415.7,3254,-221.7,0,-61.5,-182.4,0,-182.4,-4355.1,-4820.7,-224.5,2749,2525,-1356.9,-1356.9,-752.9,-8.6,407,-1148.2,80.7,-752.9,74.17121124,4.72,15.71423967,0.013575041,0.131626283,0.329912179,0.085493599,0.078691079,2.052095182,4.796844566,0.183155222
2014 Q1,DE,DEERE & CO,0.34%,0,2014-03-31,7654,5196,2459,324,766,-232.3,1494,965,0,965,281,684,0,681,0,681,1480,1137,1.83,1.81,4627,4910,5555,0,0,43824,5351,298,909,4954,13835,57659,19567,22265,0,27834,47401,3571,20137,-2809.4,0,10258,57659,3163,1307,-58.3,1248,-749,-297.9,0,187,-654.4,3526,43.2,0,346,408,0,408,-3677.9,-2881,3023,89.2,3112,-2581.6,-2581.6,-786,-32.8,-288.3,283,78.5,-786,74.16901398,3.97,18.68237128,0.011810819,0.126077868,0.321269924,0.088973086,0.06638721,2.239689273,4.620881263,0.193362947
2014 Q2,DE,DEERE & CO,0.33%,0,2014-06-30,9948,6872,3076,354,847,-245.9,1612,1464,0,1464,479,985,0,981,0,980,1917,1630,2.67,2.65,4650,6352,5850,0,0,46694,5373,309,911,5118,14169,60862,21377,23167,49.8,28818,50195,3622,20931,-2663.5,0,10668,60862,3163,1307,-58.3,1248,-749,-297.9,0,187,-654.4,3526,43.2,0,346,408,0,408,-3677.9,-2881,3023,89.2,3112,-2581.6,-2581.6,-786,-32.8,-288.3,283,78.5,-786,74.45713043,4.5,16.54602898,0.016102001,0.147165259,0.309207881,0.098512264,0.091863517,2.18431024,4.705193101,0.192702051
2014 Q3,DE,DEERE & CO,0.57%,1,2014-09-30,9500,6611,2889,362,821,-260,1597,1292,0,1292,450,842,0,851,0,850,1773,1446,2.35,2.33,4524,5778,5439,0,0,47085,5386,310,899,5504,14663,61749,21247,24036,0,29669,50916,3653,21565,-2644.7,0,10833,61749,3163,1307,-58.3,1248,-749,-297.9,0,187,-654.4,3526,43.2,0,346,408,0,408,-3677.9,-2881,3023,89.2,3112,-2581.6,-2581.6,-786,-32.8,-288.3,283,78.5,-786,67.90859222,5.02,13.52760801,0.013765405,0.136,0.304105263,0.089473684,0.078463953,2.216077564,4.700083079,0.186631579
2014 Q4,DE,DEERE & CO,1.38%,1,2014-12-31,8965,6097,2868,412,851,-355.1,1791,1076,0,1077,417,660,0,650,0,650,1598,1249,1.86,1.84,5002,4808,4210,0,0,46044,5578,303,860,5774,15292,61336,21233,24381,0,31038,52271,3675,22004,-3783,0,9066,61336,3163,1307,-58.3,1248,-749,-297.9,0,187,-654.4,3526,43.2,0,346,408,0,408,-3677.9,-2881,3023,89.2,3112,-2581.6,-2581.6,-786,-32.8,-288.3,283,78.5,-786,73.7661438,4.21,17.52164936,0.010597365,0.120022309,0.319910764,0.072504183,0.071696448,2.16851128,5.765607765,0.178248745
2015 Q1,DE,DEERE & CO,1.42%,1,2015-03-31,6383,4421,1963,333,659,-222.6,1395,568,0,568,171,397,0,387,0,387,1091,748,1.13,1.12,4469,4283,4527,0,0,42978,5348,302,804,6275,15312,58290,19052,24107,267,30990,50041,3714,22185,-4245,0,8249,58290,1941,1382,137,1519,812,-691.4,0,761,258,3759,355,0,149,706,0,706,-2269.1,-1058.7,848,502,1349,-2598.6,-2598.6,-816.3,-72.1,-2137.6,375,66.1,-816.3,73.61766052,2.99,24.62129114,0.006639218,0.08898637,0.307535642,0.060629798,0.046914778,2.25582616,6.066311068,0.170922764
